Rack Travel (mm),Toe Angle RHS (deg),Toe Angle LHS (deg),Camber Angle RHS (deg),Camber Angle LHS (deg),Ackermann (%),Turning Circle Radius (mm)
-44.49,33.8,-27.89,-1.87,4.8,-45.38,2621.59
-43.48,32.76,-27.24,-1.87,4.63,-44.8,2709.62
-42.47,31.75,-26.59,-1.87,4.47,-44.27,2800.69
-41.46,30.76,-25.94,-1.86,4.31,-43.78,2895.08
-40.45,29.8,-25.3,-1.85,4.15,-43.31,2993.11
-39.43,28.85,-24.65,-1.83,4,-42.88,3095.13
-38.42,27.93,-24.01,-1.82,3.85,-42.47,3201.49
-37.41,27.03,-23.37,-1.8,3.71,-42.09,3312.6
-36.4,26.14,-22.73,-1.77,3.57,-41.73,3428.89
-35.39,25.27,-22.09,-1.75,3.43,-41.4,3550.86
-34.38,24.41,-21.46,-1.72,3.29,-41.08,3679.03
-33.37,23.57,-20.82,-1.69,3.16,-40.79,3814.02
-32.36,22.74,-20.19,-1.66,3.03,-40.51,3956.48
-31.35,21.92,-19.56,-1.63,2.91,-40.24,4107.17
-30.33,21.12,-18.93,-1.59,2.78,-40,4266.95
-29.32,20.32,-18.3,-1.56,2.66,-39.77,4436.79
-28.31,19.53,-17.67,-1.52,2.54,-39.55,4617.77
-27.3,18.76,-17.04,-1.48,2.43,-39.34,4811.18
-26.29,17.99,-16.41,-1.44,2.4,-39.15,5018.45
-25.28,17.23,-15.78,-1.4,2.29,-38.97,5241.29
-24.27,16.48,-15.15,-1.36,2.18,-38.8,5481.66
-23.26,15.73,-14.53,-1.31,2.07,-38.64,5741.86
-22.25,15,-13.9,-1.27,1.96,-38.49,6024.62
-21.23,14.26,-13.28,-1.22,1.78,-38.35,6333.17
-20.22,13.54,-12.65,-1.18,1.68,-38.22,6671.42
-19.21,12.82,-12.02,-1.13,1.58,-38.1,7044.07
-18.2,12.11,-11.4,-1.08,1.48,-37.99,7456.86
-17.19,11.4,-10.77,-1.03,1.39,-37.88,7916.89
-16.18,10.7,-10.14,-0.98,1.29,-37.79,8433.05
-15.17,10,-9.52,-0.92,1.2,-37.7,9016.58
-14.16,9.31,-8.89,-0.87,1.11,-37.61,9681.91
-13.14,8.62,-8.26,-0.81,1.02,-37.54,10447.96
-12.13,7.94,-7.63,-0.76,0.93,-37.47,11339.92
-11.12,7.26,-7,-0.7,0.85,-37.41,12392.14
-10.11,6.58,-6.37,-0.64,0.76,-37.35,13652.71
