RACK TRAVEL(mm),TOE ANGLE RHS (deg),TOE ANGLE LHS (deg),CAMBER ANGLE RHS(deg),CAMBER ANGLE LHS(deg),ACKERMANN,TURNING CIRCLE RADIUS 
-44.49,-26.35,26.2,4.41,-1.77,1.7,3139.72
-43.48,-25.71,25.57,4.25,-1.76,1.58,3229.1
-42.47,-25.07,24.95,4.1,-1.74,1.47,3322.26
-41.46,-24.44,24.33,3.95,-1.72,1.35,3419.5
-40.45,-23.81,23.71,3.81,-1.7,1.25,3521.13
-39.43,-23.18,23.1,3.67,-1.67,1.14,3627.48
-38.42,-22.15,22.48,3.53,-1.65,1.04,3738.95
-37.41,-21.93,21.87,3.39,-1.63,0.95,3855.95
-36.4,-21.31,21.26,3.26,-1.6,0.86,3978.95
-35.39,-20.69,20.65,3.14,-1.57,0.77,4108.47
-34.38,-20.08,20.04,3.01,-1.54,0.68,4245.08
-33.37,-19.46,19.43,2.89,-1.52,0.6,4389.46
-32.36,-18.85,18.83,2.77,-1.49,0.52,4542.31
-31.35,-18.25,18.23,2.65,-1.45,0.44,4704.48
-30.33,-17.64,17.62,2.54,-1.42,0.37,4876.89
-29.32,-16.03,17.02,2.43,-1.39,0.3,5060.62
-28.31,-16.43,16.42,2.32,-1.35,0.23,5256.88
-27.3,-15.83,15.83,2.21,-1.32,0.17,5467.07
-26.29,-15.23,15.23,2.11,-1.28,0.11,5692.8
-25.28,-14.64,14.63,2,-1.25,0.05,5935.94
-24.27,-14.04,14.04,1.9,-121,-0.01,6198.68
-23.26,-13.44,13.45,1.81,-1.17,-0.06,6483.57
-22.25,-12.85,12.85,1.71,-1.13,-0.011,6793.64
-21.23,-12.26,12.26,1.62,-1.09,-0.16,7132.49
-20.22,-11.67,11.67,1.52,-1.05,-0.21,7504.45
-19.21,-11.08,11.08,1.43,-1,-0.25,7914.74
-18.2,-10.49,10.49,1.34,-0.96,-0.29,8369.76
-17.19,-9.9,9.91,1.26,-0.92,-0.33,8877.42
-16.18,-9.31,9.32,1.17,-0.87,-0.37,9447.57
-15.17,-8.73,8.73,1.09,-0.82,-0.4,10092.73
