Rack Travel (mm),Toe Angle RHS (deg),Toe Angle LHS (deg),Camber RHS (deg),Camber LHS (deg),ACKERMANN,TURNING CIRCLE RADIUS 
-44.49,-26.52,28.17,4.45,-1.82,-16.44,3000.48
-43.48,-25.89,27.47,4.3,-1.81,-16.48,3087.41
-42.47,-25.27,26.77,4.15,-1.79,-16.52,3177.99
-41.46,-24.64,26.08,4,-1.77,-16.56,3272.5
-40.45,-24.03,25.39,3.86,-1.75,-16.6,3371.23
-39.43,-23.41,24.71,3.72,-1.73,-16.64,3474.51
-38.42,-22.79,24.03,3.58,-1.71,-16.67,3582.72
-37.41,-22.18,23.35,3.45,-1.68,-16.71,3696.26
-36.4,-21.57,22.68,3.32,-1.66,-16.74,3815.58
-35.39,-20.96,22,3.19,-1.63,-16.78,3941.18
-34.38,-20.35,21.34,3.07,-1.6,-16.81,4073.63
-33.37,-19.74,20.67,2.94,-1.57,-16.85,4213.54
-32.36,-19.14,20.01,2.82,-1.54,-16.88,4361.64
-31.35,-18.53,19.35,2.71,-1.51,-16.91,4518.71
-30.33,-17.93,18.7,2.59,-1.48,-16.94,4685.66
-29.32,-17.32,18.04,2.48,-1.44,-16.97,4863.52
-28.31,-16.72,17.39,2.37,-1.41,-17,5053.47
-27.3,-16.12,16.75,2.26,-1.37,-17.03,5256.84
-26.29,-15.52,16.1,2.16,-1.34,-17.06,5475.2
-25.28,-14.92,15.46,2.05,-1.3,-17.08,5710.35
-24.27,-14.33,14.82,1.95,-1.26,-17.11,5964.4
-23.26,-13.73,14.18,1.85,-1.22,-17.14,6239.81
-22.25,-13.13,13.54,1.75,-1.18,-17.16,6539.5
-21.23,-12.53,12.91,1.66,-1.13,-17.19,6866.96
-20.22,-11.94,12.28,1.56,-1.09,-17.21,7226.34
-19.21,-11.34,11.65,1.47,-1.05,-17.23,7622.69
-18.2,-10.75,11.02,1.38,-1,-17.25,8062.18
-17.19,-10.15,10.4,1.29,-0.95,-17.27,8552.44
-16.18,-9.56,9.77,1.21,-0.91,-17.29,9102.98
-15.17,-8.96,9.15,1.12,-0.86,-17.31,9725.86
-14.16,-8.36,8.53,1.04,-0.81,-17.33,10436.59
-13.14,-7.77,7.91,0.95,-0.76,-17.35,11255.46
-12.13,-7.17,7.3,0.87,-0.7,-17.36,12209.49
-11.12,-6.58,6.68,0.79,-0.65,-17.38,13335.56
-10.11,-5.98,6.07,0.71,-0.6,-17.39,14685.29
-9.1,-5.39,5.46,0.64,-0.54,-17.4,16333.23
-8.09,-4.79,4.84,0.56,-0.49,-17.41,18391.22
-7.08,-4.19,4.24,0.49,-0.43,-17.42,21034.99
-6.07,-3.6,3.63,0.41,-0.37,-17.43,24557.46
-5.06,-3,3.02,0.34,-0.31,-17.44,29485.82
-4.04,-2.4,2.41,0.27,-0.25,-17.44,36874.53
-3.03,-1.8,1.81,0.2,-0.19,-17.45,49183.92
-2.02,-1.2,1.2,0.13,-0.13,-17.45,73795.03
-1.01,-0.6,0.6,0.07,-0.06,-17.46,147613.05
0,0,0,0,0,-17.46,0
1.01,0.6,-0.6,-0.06,0.07,-17.46,147613.05
2.02,1.2,-1.2,-0.13,0.13,-17.45,73795.03
3.03,1.81,-1.8,-0.19,0.2,-17.45,49183.92
4.04,2.41,-2.4,-0.25,0.27,-17.44,36874.53
5.06,3.02,-3,-0.31,0.34,-17.44,29485.82
6.07,3.63,-3.6,-0.37,0.41,-17.43,24557.46
7.08,4.24,-4.19,-0.43,0.49,-17.42,21034.99
8.09,4.84,-4.79,-0.49,0.56,-17.41,18391.22
9.1,5.46,-5.39,-0.54,0.64,-17.4,16333.23
10.11,6.07,-5.98,-0.6,0.71,-17.39,14685.29
11.12,6.68,-6.58,-0.65,0.79,-17.38,13335.56
12.13,7.3,-7.17,-0.7,0.87,-17.36,12209.49
13.14,7.91,-7.77,-0.76,0.95,-17.35,11255.46
14.16,8.53,-8.36,-0.81,1.04,-17.33,10436.59
15.17,9.15,-8.96,-0.86,1.12,-17.31,9725.86
16.18,9.77,-9.56,-0.91,1.21,-17.29,9102.98
17.19,10.4,-10.15,-0.95,1.29,-17.27,8552.44
18.2,11.02,-10.75,-1,1.38,-17.25,8062.18
19.21,11.65,-11.34,-1.05,1.47,-17.23,7622.69
20.22,12.28,-11.94,-1.09,1.56,-17.21,7226.34
21.23,12.91,-12.53,-1.13,1.66,-17.19,6866.96
22.25,13.54,-13.13,-1.18,1.75,-17.16,6539.5
23.26,14.18,-13.73,-1.22,1.85,-17.14,6239.81
24.27,14.82,-14.33,-1.26,1.95,-17.11,5964.4
25.28,15.46,-14.92,-1.3,2.05,-17.08,5710.35
26.29,16.1,-15.52,-1.34,2.16,-17.06,5475.2
27.3,16.75,-16.12,-1.37,2.26,-17.03,5256.84
28.31,17.39,-16.72,-1.41,2.37,-17,5053.47
29.32,18.04,-17.32,-1.44,2.48,-16.97,4863.52
30.33,18.7,-17.93,-1.48,2.59,-16.94,4685.66
31.35,19.35,-18.53,-1.51,2.71,-16.91,4518.71
32.36,20.01,-19.14,-1.54,2.82,-16.88,4361.64
33.37,20.67,-19.74,-1.57,2.94,-16.85,4213.54
