Rack Travel (mm),Toe Angle RHS (deg),Toe Angle LHS (deg),Camber RHS (deg),Camber LHS (deg),ACKERMANN,TURNING CIRCLE RADIUS 
-44.49,-26.93,37.84,4.55,-1.83,74.76,2523.13
-43.48,-26.35,36.61,4.41,-1.85,74.39,2608.08
-42.47,-25.76,35.41,4.27,-1.87,74.06,2695.93
-41.46,-25.18,34.24,4.13,-1.87,73.75,2786.96
-40.45,-24.6,33.11,3.99,-1.87,73.47,2881.48
-39.43,-24.01,32,3.85,-1.87,73.21,2979.82
-38.42,-23.43,30.92,3.72,-1.86,72.98,3082.33
-37.41,-22.84,29.87,3.59,-1.85,72.77,3189.39
-36.4,-22.26,28.84,3.46,-1.83,72.57,3301.44
-35.39,-21.67,27.83,3.34,-1.81,72.4,3418.94
-34.38,-21.08,26.84,3.22,-1.79,72.24,3542.4
-33.37,-20.49,25.86,3.09,-1.76,72.1,3672.41
-32.36,-19.9,24.91,2.98,-1.74,71.97,3809.62
-31.35,-19.31,23.97,2.86,-1.71,71.85,3954.74
-30.33,-18.72,23.05,2.74,-1.67,71.75,4108.61
-29.32,-18.13,22.14,2.63,-1.64,71.66,4272.15
-28.31,-17.53,21.25,2.52,-1.6,71.57,4446.42
-27.3,-16.94,20.37,2.41,-1.56,71.5,4632.64
-26.29,-16.34,19.5,2.3,-1.52,71.44,4832.22
-25.28,-15.74,18.65,2.19,-1.48,71.39,5046.77
-24.27,-15.14,17.8,2.09,-1.43,71.34,5278.2
-23.26,-14.54,16.97,1.99,-1.39,71.3,5528.71
-22.25,-13.93,16.15,1.89,-1.34,71.27,5800.95
-21.23,-13.33,15.33,1.79,-1.29,71.25,6098.02
-20.22,-12.72,14.53,1.69,-1.24,71.23,6423.68
-19.21,-12.11,13.74,1.59,-1.19,71.21,6782.44
-18.2,-11.5,12.95,1.5,-1.14,71.2,7179.86
-17.19,-10.88,12.18,1.4,-1.08,71.2,7622.77
-16.18,-10.27,11.41,1.31,-1.03,71.19,8119.71
-15.17,-9.65,10.65,1.22,-0.97,71.2,8681.5
-14.16,-9.03,9.89,1.13,-0.91,71.2,9322.07
-13.14,-8.4,9.15,1.04,-0.86,71.21,10059.59
-12.13,-7.78,8.41,0.95,-0.8,71.22,10918.34
-11.12,-7.15,7.68,0.87,-0.74,71.23,11931.39
-10.11,-6.51,6.96,0.78,-0.69,71.24,13026.05
-9.09,-5.87,6.24,0.69,-0.63,71.25,14245.82
-8.08,-5.23,5.53,0.61,-0.58,71.25,15636.51
-7.07,-4.58,4.83,0.53,-0.53,71.26,17247.21
-6.06,-3.93,4.14,0.45,-0.48,71.26,19141.29
-5.05,-3.28,3.45,0.37,-0.44,71.27,21390.6
-4.04,-2.63,2.77,0.29,-0.4,71.28,24061.72
-3.03,-1.97,2.1,0.21,-0.35,71.28,27231.2
-2.02,-1.32,1.43,0.14,-0.31,71.28,30993.46
-1.01,-0.67,0.77,0.07,-0.27,71.29,35469.07
0,0,0,0,0,71.3,132411.2
1.01,0.66,-0.76,-0.07,0.27,71.31,35469.07
2.02,1.32,-1.43,-0.14,0.31,71.32,30993.46
3.03,1.97,-2.1,-0.21,0.35,71.32,27231.2
4.04,2.63,-2.77,-0.29,0.4,71.32,24061.72
5.05,3.28,-3.45,-0.37,0.44,71.32,21390.6
6.06,3.93,-4.14,-0.45,0.48,71.32,19141.29
7.07,4.58,-4.83,-0.53,0.53,71.32,17247.21
8.08,5.23,-5.53,-0.61,0.58,71.32,15636.51
9.09,5.87,-6.24,-0.69,0.63,71.32,14245.82
10.11,6.51,-6.96,-0.78,0.69,71.32,13026.05
11.12,7.15,-7.68,-0.87,0.74,71.31,11931.39
12.13,7.78,-8.41,-0.95,0.8,71.31,10918.34
13.14,8.4,-9.15,-1.04,0.86,71.31,10059.59
14.16,9.03,-9.89,-1.13,0.91,71.3,9322.07
15.17,9.65,-10.65,-1.22,0.97,71.3,8681.5
16.18,10.27,-11.41,-1.31,1.03,71.3,8119.71
17.19,10.88,-12.18,-1.4,1.08,71.3,7622.77
18.2,11.5,-12.95,-1.5,1.14,71.31,7179.86
