Rack Travel (mm),Toe Angle RHS (°),Toe Angle LHS (°),Camber RHS (°),Camber LHS (°),ACKERMANN,TURNING CIRCLE RADIUS 
-44.49,52.17,-29,0.69,5.1,101.07,2000
-43.48,51.62,-28.37,0.28,4.93,104.24,2049.04
-42.47,51.25,-27.73,-0.11,4.76,107.89,2096.06
-41.46,50.92,-27.1,-0.44,4.6,111.8,2143.66
-40.45,50.7,-26.47,-0.78,4.44,116.07,2190.74
-39.43,46.5,-25.84,-1.42,4.28,112.2,2336.07
-38.42,41.94,-25.2,-1.7,4.13,105.37,2509.17
-37.41,39.07,-24.57,-1.8,3.98,101.63,2649.83
-36.4,36.77,-23.94,-1.85,3.84,98.91,2783.11
-35.39,34.79,-23.3,-1.87,3.69,96.77,2915.01
-34.38,33.01,-22.67,-1.87,3.55,95,3048.34
-33.37,31.4,-22.03,-1.87,3.42,93.5,3184.87
-32.36,29.9,-21.4,-1.85,3.28,92.2,3325.93
-31.35,28.49,-20.76,-1.83,3.15,91.06,3472.69
-30.33,27.15,-20.12,-1.8,3.02,90.05,3626.23
-29.32,25.89,-19.48,-1.77,2.89,89.15,3787.65
-28.31,24.67,-18.84,-1.73,2.77,88.34,3958.13
-27.3,23.5,-18.2,-1.69,2.64,87.61,4138.91
-26.29,22.38,-17.56,-1.65,2.52,86.95,4331.41
-25.28,21.29,-16.92,-1.6,2.41,86.36,4537.21
-24.27,20.23,-16.27,-1.55,2.29,85.81,4758.13
-23.26,19.2,-15.62,-1.5,2.17,85.32,4996.28
-22.25,18.2,-14.98,-1.45,2.06,84.87,5254.14
-21.23,17.22,-14.33,-1.4,1.95,84.47,5534.62
-20.22,16.27,-13.67,-1.35,1.84,84.1,5841.22
-19.21,15.33,-13.02,-1.29,1.74,83.76,6178.15
-18.2,14.42,-12.36,-1.23,1.63,83.45,6550.56
-17.19,13.52,-11.7,-1.17,1.53,83.17,6964.77
-16.18,12.63,-11.04,-1.11,1.43,82.92,7428.71
-15.17,11.76,-10.38,-1.05,1.33,82.7,7952.37
-14.16,10.91,-9.71,-0.99,1.23,82.49,8548.63
-13.14,10.07,-9.04,-0.93,1.13,82.31,9234.3
-12.13,9.24,-8.37,-0.86,1.04,82.15,10031.8
-11.12,8.42,-7.7,-0.8,0.94,82,10971.66
-10.11,7.61,-7.02,-0.73,0.85,81.88,12096.67
-9.1,6.81,-6.33,-0.66,0.76,81.77,13468.58
-8.09,6.02,-5.65,-0.59,0.67,81.67,15180.04
-7.08,5.25,-4.96,-0.52,0.58,81.59,17376.62
-6.07,4.47,-4.26,-0.45,0.49,81.52,20300.94
-5.06,3.71,-3.56,-0.38,0.41,81.47,24389.69
-4.04,2.96,-2.86,-0.31,0.32,81.42,30516.25
-3.03,2.21,-2.15,-0.23,0.24,81.39,40718.49
-2.02,1.46,-1.44,-0.16,0.16,81.37,61110
-1.01,0.73,-0.72,-0.08,0.08,81.35,122258.69
0,0,0,0,0,81.35,0
1.01,-0.72,0.73,0.08,-0.08,81.35,122258.69
2.02,-1.44,1.46,0.16,-0.16,81.37,61110
3.03,-2.15,2.21,0.24,-0.23,81.39,40718.49
