Rack Travel (mm),Toe Angle RHS (°),Toe Angle LHS (°),Camber Angle RHS (°),Camber Angle LHS (°),ACKERMANN,TURNING CIRCLE RADIUS 
-44.49,39.9,-28.4,-1.77,4.93,71.11,2360.52
-43.48,38.29,-27.75,-1.82,4.76,69.67,2454.59
-42.47,36.8,-27.11,-1.85,4.6,68.41,2550.02
-41.46,35.39,-26.47,-1.87,4.44,67.3,2647.44
-40.45,34.07,-25.83,-1.87,4.28,66.29,2747.42
-39.43,32.8,-25.19,-1.87,4.13,65.39,2850.45
-38.42,31.59,-24.55,-1.87,3.98,64.57,2957.01
-37.41,30.43,-23.91,-1.86,3.83,63.82,3067.6
-36.4,29.31,-23.27,-1.84,3.69,63.13,3182.69
-35.39,28.22,-22.63,-1.82,3.55,62.5,3302.82
-34.38,27.17,-22,-1.8,3.41,61.91,3428.55
-33.37,26.14,-21.36,-1.77,3.27,61.37,3560.48
-32.36,25.14,-20.73,-1.74,3.14,60.87,3699.3
-31.35,24.17,-20.09,-1.71,3.01,60.41,3845.74
-30.33,23.22,-19.46,-1.68,2.89,59.98,4000.63
-29.32,22.29,-18.82,-1.64,2.76,59.58,4164.93
-28.31,21.37,-18.19,-1.6,2.64,59.21,4339.68
-27.3,20.48,-17.55,-1.56,2.52,58.87,4526.11
-26.29,19.59,-16.91,-1.52,2.4,58.55,4725.62
-25.28,18.73,-16.28,-1.48,2.29,58.25,4939.82
-24.27,17.88,-15.64,-1.44,2.18,57.97,5170.59
-23.26,17.04,-15.01,-1.39,2.07,57.71,5420.13
-22.25,16.21,-14.37,-1.34,1.96,57.47,5691.05
-21.23,15.39,-13.73,-1.29,1.85,57.25,5986.42
-20.22,14.59,-13.09,-1.24,1.75,57.05,6309.95
-19.21,13.79,-12.45,-1.19,1.65,56.86,6666.12
-18.2,13.01,-11.81,-1.14,1.55,56.68,7060.41
-17.19,12.23,-11.17,-1.09,1.45,56.52,7499.57
-16.18,11.46,-10.53,-1.03,1.35,56.38,7992.03
-15.17,10.7,-9.89,-0.98,1.25,56.24,8548.5
-14.16,9.94,-9.24,-0.92,1.16,56.12,9182.71
-13.14,9.2,-8.6,-0.86,1.07,56,9912.64
-12.13,8.46,-7.95,-0.8,0.98,55.9,10762.23
-11.12,7.73,-7.3,-0.74,0.89,55.81,11764.15
-10.11,7,-6.65,-0.68,0.8,55.73,12964.12
-9.1,6.28,-5.99,-0.62,0.71,55.66,14428.19
-8.09,5.56,-5.34,-0.55,0.63,55.6,16255.41
-7.08,4.85,-4.68,-0.49,0.55,55.54,18601.45
-6.07,4.14,-4.02,-0.42,0.46,55.5,21725.75
-5.06,3.44,-3.36,-0.35,0.38,55.46,26095.28
-4.04,2.75,-2.69,-0.29,0.3,55.43,32644
-3.03,2.05,-2.02,-0.22,0.23,55.41,43551.12
-2.02,1.37,-1.35,-0.14,0.15,55.39,65354.29
-1.01,0.68,-0.68,-0.07,0.07,55.38,130741.68
0,0,0,0,0,55.38,0
1.01,-0.68,0.68,0.07,-0.07,55.38,130741.68
2.02,-1.35,1.37,0.15,-0.14,55.39,65354.29
3.03,-2.02,2.05,0.23,-0.22,55.41,43551.12
4.04,-2.69,2.75,0.3,-0.29,55.43,32644
5.06,-3.36,3.44,0.38,-0.35,55.46,26095.28
6.07,-4.02,4.14,0.46,-0.42,55.5,21725.75
7.08,-4.68,4.85,0.55,-0.49,55.54,18601.45
8.09,-5.34,5.56,0.63,-0.55,55.6,16255.41
9.1,-5.99,6.28,0.71,-0.62,55.66,14428.19
10.11,-6.65,7,0.8,-0.68,55.73,12964.12
11.12,-7.3,7.73,0.89,-0.74,55.81,11764.15
