X_m,Y_m,Yaw_rad
-15,0,0
-12,0,0
-9,0,0
-6,0,0
-3,0,0
5.59E-16,0,0
2.81978,0.446609,0.314159
5.36354,1.74272,0.628319
7.38228,3.76146,0.942478
8.678391,6.30522,1.256637
9.125,9.125,1.570796
8.678391,11.94478,1.884956
7.38228,14.48854,2.199115
5.36354,16.50728,2.513274
2.81978,17.80339,2.827433
4.61E-15,18.25,3.141593
-2.81978,17.80339,3.455752
-5.36354,16.50728,3.769911
-7.38228,14.48854,4.08407
-8.67839,11.94478,4.39823
-9.125,9.125,4.712389
-8.67839,6.30522,5.026548
-7.38228,3.76146,5.340708
-5.36354,1.74272,5.654867
-2.81978,0.446609,5.969026
-9.78E-15,0,6.283185
2.81978,0.446609,6.597345
5.36354,1.74272,6.911504
7.38228,3.76146,7.225663
8.678391,6.30522,7.539822
9.125,9.125,7.853982
8.678391,11.94478,8.168141
7.38228,14.48854,8.4823
5.36354,16.50728,8.796459
2.81978,17.80339,9.110619
2.79E-15,18.25,9.424778
-2.81978,17.80339,9.738937
-5.36354,16.50728,10.0531
-7.38228,14.48854,10.36726
-8.67839,11.94478,10.68142
-9.125,9.125,10.99557
-8.67839,6.30522,11.30973
-7.38228,3.76146,11.62389
-5.36354,1.74272,11.93805
-2.81978,0.446609,12.25221
-2.46E-14,1.64E-30,12.56637
2.81978,-0.44661,12.25221
5.36354,-1.74272,11.93805
7.38228,-3.76146,11.62389
8.678391,-6.30522,11.30973
9.125,-9.125,10.99557
8.678391,-11.9448,10.68142
7.38228,-14.4885,10.36726
5.36354,-16.5073,10.0531
2.81978,-17.8034,9.738937
-3.24E-14,-18.25,9.424778
-2.81978,-17.8034,9.110619
-5.36354,-16.5073,8.796459
-7.38228,-14.4885,8.4823
-8.67839,-11.9448,8.168141
-9.125,-9.125,7.853982
-8.67839,-6.30522,7.539822
-7.38228,-3.76146,7.225663
-5.36354,-1.74272,6.911504
-2.81978,-0.44661,6.597345
-2.68E-14,3.28E-30,6.283185
2.81978,-0.44661,5.969026
5.36354,-1.74272,5.654867
7.38228,-3.76146,5.340708
8.678391,-6.30522,5.026548
9.125,-9.125,4.712389
8.678391,-11.9448,4.39823
7.38228,-14.4885,4.08407
5.36354,-16.5073,3.769911
2.81978,-17.8034,3.455752
-3.02E-14,-18.25,3.141593
-2.81978,-17.8034,2.827433
-5.36354,-16.5073,2.513274
-7.38228,-14.4885,2.199115
-8.67839,-11.9448,1.884956
-9.125,-9.125,1.570796
-8.67839,-6.30522,1.256637
-7.38228,-3.76146,0.942478
-5.36354,-1.74272,0.628319
-2.81978,-0.44661,0.314159
-2.91E-14,4.93E-30,0
3,4.93E-30,0
6,4.93E-30,0
9,4.93E-30,0
12,4.93E-30,0
